hrs_Studied,prev_score,sleep,sample_practiced,extra_Curr,Result,
3,48,5,3,Yes,23,
4,45,7,0,Yes,26,
2,57,5,8,No,30,
1,53,6,8,No,28,
7,58,5,7,No,48,
8,53,6,4,Yes,46,
7,79,9,4,Yes,73,
5,56,8,9,Yes,45,
1,99,7,5,No,76,
7,74,8,0,No,71,
7,68,9,8,No,60,
9,81,8,4,No,77,
3,56,7,6,No,36,
9,98,6,7,No,96,
1,82,9,4,Yes,62,
1,47,9,2,No,22,
4,40,6,5,Yes,21,
9,84,6,6,No,79,
6,92,7,3,No,82,
3,75,5,8,Yes,55,
1,46,4,3,Yes,22,
4,85,5,9,Yes,70,
9,44,5,1,No,37,
3,63,8,8,No,42,
9,67,4,3,Yes,64,
7,82,6,3,No,72,
4,56,5,9,Yes,42,
3,76,7,0,No,56,
5,59,5,1,No,43,
5,42,6,2,No,24,
3,76,5,6,Yes,55,
9,65,9,8,No,64,
4,54,8,4,Yes,34,
5,90,8,3,Yes,78,
4,87,5,1,Yes,71,
5,47,8,6,Yes,33,
7,52,7,5,Yes,46,
9,87,4,6,Yes,86,
7,42,5,7,Yes,34,
5,40,7,8,Yes,26,
7,48,9,9,Yes,44,
5,70,7,4,No,53,
3,80,7,4,Yes,61,
7,93,9,3,No,84,
2,65,6,2,Yes,40,
9,56,5,6,No,53,
1,95,5,4,No,67,
6,73,5,6,No,58,
7,48,4,1,No,41,
8,95,7,8,No,89,
9,90,5,8,No,85,
2,52,8,8,Yes,33,
2,44,6,4,Yes,20,
5,80,9,9,Yes,66,
5,52,9,8,Yes,38,
6,40,4,0,Yes,25,
3,64,9,1,Yes,43,
8,86,6,9,No,79,
1,43,7,4,Yes,16,
6,75,9,4,No,67,
4,91,9,5,No,80,
1,49,8,7,No,26,
7,67,7,0,No,57,
9,96,5,9,No,91,
4,45,6,8,No,29,
4,66,9,3,Yes,48,
6,95,8,7,No,84,
3,51,6,4,No,33,
6,91,4,0,Yes,82,
7,87,8,8,Yes,81,
3,42,4,7,Yes,24,
7,85,9,4,Yes,81,
3,72,8,3,Yes,54,
2,49,5,7,Yes,25,
4,70,6,8,Yes,53,
8,54,6,6,No,48,
9,46,7,3,Yes,40,
7,75,8,6,No,66,
1,53,8,5,Yes,29,
3,95,4,2,Yes,73,
9,87,8,9,No,89,
1,53,6,2,Yes,27,
9,42,8,0,Yes,40,
8,88,7,4,Yes,83,
1,92,7,7,Yes,69,
6,85,6,5,Yes,72,
5,89,6,7,Yes,77,
6,42,6,6,Yes,32,
5,61,8,1,No,49,
6,58,8,7,Yes,44,
5,74,5,3,No,57,
5,51,9,4,No,34,
4,93,9,7,No,76,
3,44,4,4,No,22,
3,49,8,4,No,30,
4,80,5,5,No,67,
9,72,5,6,No,71,
2,52,7,8,Yes,29,
9,74,8,6,Yes,74,
1,90,5,5,Yes,67,
1,71,7,9,No,46,
5,50,4,3,Yes,34,
6,87,7,9,No,76,
6,77,4,1,No,64,
3,63,9,8,Yes,46,
7,74,9,9,No,68,
9,58,6,4,No,58,
8,45,6,4,Yes,41,
6,79,7,2,No,64,
8,93,6,2,Yes,84,
5,84,8,0,No,70,
8,83,7,4,No,77,
4,81,5,2,Yes,60,
8,74,8,1,Yes,65,
2,43,7,8,Yes,21,
5,72,9,9,No,60,
9,52,4,5,No,48,
4,95,6,2,Yes,77,
6,75,6,6,Yes,63,
1,93,6,8,Yes,68,
9,82,7,8,No,81,
1,58,8,0,No,29,
5,82,4,1,Yes,66,
4,51,6,7,Yes,36,
3,50,8,0,Yes,29,
6,45,5,2,No,32,
2,51,9,6,Yes,31,
3,66,5,7,Yes,45,
5,80,4,4,Yes,65,
9,64,6,1,No,57,
2,81,5,2,No,58,
8,42,9,8,Yes,38,
2,42,8,9,No,22,
5,59,8,6,Yes,48,
7,67,5,0,Yes,59,
8,62,6,2,Yes,58,
1,87,9,8,Yes,62,
6,42,4,6,No,30,
1,81,6,1,Yes,56,
2,63,7,5,Yes,40,
1,82,5,8,No,59,
5,79,7,3,Yes,65,
9,45,5,9,No,43,
6,59,4,1,Yes,48,
1,50,6,2,Yes,24,
1,71,9,6,Yes,51,
2,99,6,3,Yes,81,
9,66,5,6,No,62,
3,60,8,4,Yes,43,
1,83,7,7,No,63,
5,87,9,7,No,73,
7,89,9,4,No,76,
6,52,6,6,Yes,43,
1,61,6,5,No,34,
5,74,5,7,No,57,
5,86,8,8,No,72,
6,61,7,4,Yes,47,
3,67,8,6,Yes,52,
5,60,9,0,No,49,
7,85,8,7,No,77,
5,57,5,2,Yes,41,
5,70,8,0,No,56,
5,99,7,5,No,89,
3,85,9,7,No,65,
1,76,4,2,Yes,49,
5,60,9,0,No,48,
9,53,4,2,No,47,
1,64,7,4,Yes,37,
3,66,9,7,No,48,
4,79,9,8,Yes,61,
1,99,9,8,Yes,77,
1,99,9,3,Yes,75,
8,62,5,7,No,57,
2,70,6,4,No,45,
8,86,9,2,No,82,
7,99,5,4,No,90,
2,68,7,1,No,42,
6,86,9,5,No,74,
6,69,8,0,No,60,
3,90,9,5,No,73,
2,65,9,4,Yes,40,
1,59,4,8,No,32,
6,77,8,6,No,67,
5,58,9,5,Yes,46,
9,66,9,6,No,65,
1,64,9,9,Yes,42,
7,79,5,4,No,69,
5,77,7,0,No,62,
5,91,4,8,Yes,75,
2,62,9,4,Yes,40,
3,68,7,3,No,43,
7,54,4,5,Yes,42,
6,98,4,4,No,84,
2,42,4,0,No,15,
6,49,9,1,No,39,
2,54,5,3,No,26,
2,95,9,7,No,73,
2,55,9,4,No,34,
3,56,7,6,Yes,34,
2,58,6,1,Yes,37,
4,50,6,7,Yes,34,
9,87,6,4,No,85,
6,44,7,3,Yes,31,
1,44,8,8,No,18,
8,97,7,5,Yes,92,
7,53,4,3,No,44,
3,89,9,7,No,72,
1,65,8,2,No,40,
5,47,4,9,No,31,
4,44,9,1,No,25,
8,46,9,6,Yes,44,
1,55,4,3,No,27,
1,94,7,3,Yes,66,
4,53,6,9,No,34,
8,76,8,8,No,70,
5,95,9,1,No,81,
2,80,5,0,Yes,56,
6,43,9,6,No,30,
5,75,6,7,Yes,60,
2,87,9,2,No,64,
3,95,5,1,Yes,74,
9,56,7,3,Yes,52,
7,86,9,1,Yes,84,
7,75,8,1,No,66,
6,45,7,4,No,32,
8,55,5,9,Yes,47,
4,68,4,4,No,51,
8,75,9,7,No,67,
4,77,7,8,No,57,
8,76,9,1,Yes,71,
9,87,8,0,Yes,86,
3,96,9,2,No,77,
3,87,7,5,Yes,72,
2,49,6,4,No,24,
3,80,7,7,No,60,
3,75,5,7,Yes,55,
5,68,7,1,Yes,54,
5,53,8,8,No,39,
2,43,7,3,No,19,
6,83,7,0,No,68,
5,95,8,1,Yes,83,
6,81,7,5,Yes,72,
1,75,8,4,No,49,
5,89,5,6,No,74,
9,84,8,8,Yes,86,
2,52,5,5,No,26,
1,85,5,5,Yes,60,
9,57,8,1,Yes,54,
9,72,7,6,No,73,
9,60,9,1,No,61,
6,55,6,6,Yes,45,
8,54,9,7,No,57,
1,93,8,0,Yes,68,
4,96,7,8,Yes,72,
1,44,5,7,Yes,17,
8,45,4,8,No,37,
1,77,6,4,No,54,
3,42,9,3,No,22,
4,87,7,0,Yes,73,
8,51,6,8,Yes,47,
6,75,4,3,Yes,63,
7,72,4,3,Yes,63,
8,75,4,3,No,68,
2,72,9,1,No,52,
8,70,8,3,No,64,
3,60,6,1,Yes,38,
7,66,8,7,Yes,60,
3,66,4,6,No,45,
7,47,7,9,Yes,39,
2,95,4,1,No,75,
6,76,8,1,Yes,67,
3,71,4,1,Yes,48,
3,65,4,0,Yes,44,
9,41,8,5,Yes,37,
7,51,8,5,Yes,41,
5,61,7,0,No,47,
7,56,8,0,No,45,
9,46,7,5,No,43,
1,82,5,5,Yes,54,
7,43,5,3,No,32,
6,76,8,2,No,64,
9,77,4,8,Yes,74,
1,71,6,5,Yes,50,
4,50,4,0,No,33,
9,40,8,2,No,36,
4,64,7,0,No,45,
3,81,4,2,No,58,
9,91,5,1,No,85,
2,63,9,4,Yes,41,
4,92,8,2,No,78,
6,82,4,6,No,63,
2,95,9,7,No,76,
8,56,4,6,No,51,
8,47,7,1,No,36,
1,98,7,9,No,74,
3,84,7,9,Yes,65,
9,66,9,6,Yes,65,
5,91,6,9,Yes,79,
6,57,9,2,No,46,
4,66,8,6,No,47,
2,61,8,0,Yes,42,
8,55,5,1,No,46,
6,41,5,9,No,34,
5,44,8,0,No,27,
9,57,4,8,Yes,52,
1,42,8,1,Yes,17,
5,66,6,1,Yes,53,
6,93,5,5,No,84,
5,56,5,6,Yes,39,
6,55,9,1,Yes,44,
6,45,5,3,Yes,36,
7,90,8,2,No,81,
4,46,5,4,Yes,30,
8,89,5,8,Yes,80,
7,53,9,1,No,41,
9,77,8,4,Yes,77,
7,79,4,7,No,69,
3,54,5,5,No,34,
3,86,5,3,Yes,64,
8,86,5,9,Yes,78,
5,87,6,7,Yes,74,
4,72,8,2,No,52,
8,82,5,3,Yes,76,
6,66,6,8,Yes,53,
2,68,4,4,Yes,46,
4,96,4,5,No,77,
4,76,9,1,No,59,
6,44,9,8,No,35,
6,68,9,7,Yes,61,
1,71,6,6,Yes,46,
8,99,4,8,No,97,
6,92,9,4,Yes,86,
3,45,7,4,Yes,24,
9,41,9,8,No,37,
2,45,4,4,No,18,
8,85,7,8,No,84,
3,82,6,0,Yes,59,
5,43,7,9,Yes,29,
6,95,4,9,Yes,84,
6,68,5,7,No,60,
4,98,7,2,No,78,
3,64,4,7,Yes,46,
4,48,9,4,No,31,
1,95,5,1,No,68,
4,42,6,8,Yes,25,
1,65,6,3,No,37,
1,87,8,6,Yes,62,
6,82,6,7,No,69,
5,66,8,6,Yes,50,
4,75,6,5,No,55,
3,71,6,6,Yes,54,
1,40,6,3,No,12,
6,96,8,9,No,88,
2,92,9,0,No,69,
8,93,8,4,No,88,
5,55,7,7,No,41,
7,90,4,9,Yes,83,
2,87,4,5,Yes,62,
8,50,9,4,Yes,45,
2,65,4,1,No,42,
4,79,6,9,Yes,65,
1,94,9,4,No,73,
5,40,4,9,No,23,
9,65,8,2,Yes,61,
1,67,7,1,Yes,41,
9,92,5,2,No,85,
8,97,7,3,No,93,
6,48,4,1,Yes,35,
7,99,9,3,Yes,92,
3,98,4,3,No,79,
1,83,8,5,No,57,
5,61,7,4,Yes,49,
2,47,8,6,No,28,
5,97,8,6,No,85,
8,88,5,2,Yes,82,
9,81,8,8,Yes,80,
2,66,8,6,No,41,
3,78,5,6,No,57,
3,58,6,1,Yes,41,
1,64,6,9,No,43,
8,77,9,2,Yes,73,
6,60,5,2,No,46,
8,63,9,5,Yes,61,
9,63,9,3,No,61,
5,99,8,3,No,87,
3,99,9,0,No,78,
5,58,4,5,Yes,43,
5,89,7,7,Yes,75,
5,86,4,7,Yes,72,
3,41,4,7,No,18,
4,53,8,4,No,36,
9,92,7,9,Yes,92,
9,71,9,5,Yes,71,
2,81,7,4,No,58,
8,71,9,3,No,69,
8,67,6,3,No,58,
7,87,5,3,No,74,
8,78,8,3,Yes,72,
3,79,9,5,Yes,61,
6,81,9,5,No,74,
1,86,7,4,No,60,
7,79,8,8,No,70,
1,52,9,7,Yes,27,
9,51,6,9,Yes,49,
1,47,4,5,No,17,
1,54,9,8,No,34,
7,65,7,4,No,51,
2,51,6,9,No,27,
5,82,8,3,No,67,
8,90,9,5,No,84,
8,85,6,3,Yes,81,
3,66,6,7,Yes,45,
7,57,6,6,Yes,50,
3,84,6,4,No,67,
6,75,6,9,No,67,
6,88,6,5,No,77,
3,90,5,6,Yes,70,
7,66,8,1,No,59,
3,48,4,8,Yes,27,
8,94,8,6,No,88,
4,78,7,7,No,60,
1,40,7,4,No,14,
4,46,8,2,Yes,27,
7,65,6,1,Yes,54,
4,46,5,1,Yes,32,
6,91,4,2,No,79,
9,46,9,0,Yes,44,
1,47,9,0,No,20,
5,55,6,6,No,42,
7,42,8,9,Yes,33,
1,84,9,7,Yes,58,
4,49,8,5,No,31,
6,89,5,6,No,75,
2,46,5,0,No,22,
5,60,8,0,No,46,
1,92,6,8,Yes,68,
6,76,6,4,Yes,66,
6,70,6,6,Yes,60,
4,62,9,5,No,44,
8,96,4,3,No,90,
4,66,4,0,No,47,
8,95,6,3,Yes,88,
8,61,8,9,No,56,
5,78,5,9,No,66,
4,96,7,7,Yes,78,
2,66,5,0,Yes,43,
3,93,5,1,No,72,
3,88,7,7,Yes,69,
4,43,6,1,No,24,
4,63,5,9,Yes,47,
5,62,7,8,No,45,
4,87,9,2,Yes,72,
8,58,8,2,Yes,51,
6,81,8,5,Yes,73,
6,42,8,2,Yes,28,
8,66,6,8,No,56,
7,42,5,7,No,29,
8,67,5,3,Yes,60,
2,56,4,5,No,28,
9,70,8,7,Yes,66,
1,49,6,3,Yes,21,
8,88,7,4,No,84,
4,61,6,6,No,42,
4,69,5,7,No,51,
5,88,8,6,No,74,
8,60,4,7,No,50,
5,75,9,3,No,62,
8,92,6,0,No,90,
1,62,4,5,Yes,32,
9,77,5,4,No,71,
6,51,7,3,Yes,37,
3,64,6,1,No,42,
8,93,9,0,No,85,
9,96,5,8,Yes,96,
6,59,8,1,Yes,51,
7,88,6,8,Yes,82,
1,88,4,5,Yes,64,
5,81,6,5,No,67,
5,46,5,1,No,32,
4,68,5,5,Yes,50,
6,87,4,2,Yes,73,
7,68,9,6,No,62,
9,52,5,9,No,48,
1,42,6,3,Yes,20,
6,41,9,8,No,33,
7,55,4,4,No,43,
3,69,5,9,Yes,49,
8,77,5,2,Yes,70,
5,45,6,0,Yes,28,
9,84,5,0,Yes,82,
5,46,6,3,No,29,
9,44,8,9,Yes,42,
4,95,9,9,No,79,
9,46,6,3,No,41,
5,73,7,8,No,61,
9,71,5,7,No,69,
3,88,8,3,Yes,68,
4,52,9,5,No,38,
9,69,4,6,Yes,67,
6,64,7,9,No,54,
2,60,4,7,Yes,39,
7,99,7,3,No,93,
2,98,8,0,No,76,
2,60,9,4,Yes,39,
1,67,8,0,Yes,38,
3,87,8,3,Yes,69,
6,97,7,6,Yes,88,
8,59,6,6,No,54,
9,73,9,0,No,68,
7,44,4,8,No,33,
4,57,6,1,No,40,
6,99,6,4,No,87,
5,78,5,5,Yes,64,
8,82,4,0,Yes,70,
1,96,7,1,No,70,
1,96,5,6,Yes,72,
6,50,5,5,No,38,
2,93,8,5,No,71,
5,56,7,5,Yes,40,
1,87,6,6,No,58,
7,84,9,9,Yes,77,
1,61,6,8,No,38,
4,76,6,8,Yes,60,
9,59,8,1,No,57,
1,87,6,1,No,63,
4,99,4,4,Yes,82,
6,93,6,9,No,84,
6,93,6,6,No,84,
8,87,4,2,Yes,77,
1,87,8,2,Yes,61,
7,85,5,3,Yes,73,
1,45,7,2,No,15,
7,73,8,2,Yes,64,
3,53,6,7,Yes,33,
8,87,5,6,Yes,78,
3,62,7,6,No,43,
1,59,7,9,Yes,34,
8,52,7,1,No,48,
3,86,4,8,No,66,
2,83,4,5,Yes,60,
1,80,5,2,No,53,
3,71,6,8,No,51,
2,65,5,8,No,43,
2,89,6,5,No,68,
6,92,8,9,No,80,
1,53,7,5,Yes,26,
2,91,7,7,Yes,70,
6,96,4,7,Yes,85,
3,75,8,5,No,57,
4,47,9,6,Yes,30,
1,79,8,3,No,56,
8,61,6,0,No,53,
7,61,8,3,No,52,
7,55,4,7,No,47,
3,66,6,7,Yes,48,
3,95,5,1,No,78,
2,99,6,6,Yes,79,
1,99,5,0,Yes,75,
7,49,9,1,No,40,
7,64,6,7,Yes,59,
2,70,7,9,Yes,49,
7,60,9,3,Yes,48,
8,66,5,2,No,60,
